YEAR,MONTH_,ENTRY_NUMBER,ENTRYSTATUS,ITEM_NO,REGDATE,REGIME,CPC,COUNTRYOFORIGIN,COUNTRYOFDESTINATION,PORT_OF_DISCHARGE,HS_CHAPTER,HSCODE,DESCRIPTION,QUANTITY,FOB,FOBCURRENCYCODE,CIF_VALUE,CUSTOMSVALUE,IMPORT_DUTY,EXCISE,IMPORT_VAT,DUTY_RATE,EXCISE_RATE,VAT_RATE,BIF,VEHICLE_TAX,RML,PRL,PDL,OTHER_TAX,TAX_PAYABLE,TAX_REMITTED
2021,2021-07,2021ICD307097,IN_PROGRESS,1,07/19/2021 11:40:17,C4,C490,IN ,,ICD ,48,4819100000,PRINTED CARTONS FOR MEDICINE ON WHITE BOARD,"7,606","18,485",USD,"2,326,164","2,326,159","581,540",0,"372,186",25.0,0.0,16.0,,0,0,0,0,0,0,"129,259"
2021,2021-07,2021MSA7839158,IN_PROGRESS,1,07/17/2021 10:33:16,C4,C400,CN ,,IIL ,72,7217200000,8X20FT CONTS STC GALVANIZED BINDING WIRE  SIZE:1.6MM 1ROLL/PKG,"142,080","74,000",USD,"8,366,161","8,366,161","3,837,936",0,"1,952,655",25.0,0.0,16.0,,0,0,0,0,0,"5,790,591","6,542,552"
2021,2021-07,2021MSA7830641,IN_PROGRESS,16,07/03/2021 12:52:45,C4,C400,CN ,,FFK ,48,4819100000,PEN TYPE DISPLAY   LCL/LCL ,25,300,USD,"33,348","33,348","8,337",0,"6,670",25.0,0.0,16.0,,0,0,0,0,0,"15,007","631,374"
2021,2021-07,2021NMA201670,IN_PROGRESS,1,07/20/2021 14:33:55,C4,C404,TZ ,,NMA ,48,4804110000," KRAFT LINER, STD, NS(175 GSM)INV:RMCSI-2021070045","28,912","26,165",USD,"3,123,943","3,123,943","780,986",0,"499,831",25.0,0.0,16.0,,0,0,0,0,0,"499,831","499,831"
2021,2021-08,2021NMA205710,IN_PROGRESS,1,08/09/2021 12:24:47,C4,C404,TZ ,,NMA ,48,4804210000,SACK KRAFT PAPER,"27,039","24,470",USD,"2,986,632","2,986,629","746,657",0,"477,861",25.0,0.0,16.0,,0,0,0,0,0,"477,861","477,861"
2021,2021-07,2021NMA203952,IN_PROGRESS,1,07/31/2021 10:33:33,C4,C404,TZ ,,NMA ,48,4804110000,KRAFT LINER PAPER AND PAPER BOARD,"28,999","26,244",USD,"3,187,700","3,187,700","796,925",0,"510,032",25.0,0.0,16.0,,0,0,0,0,0,"510,032","510,032"
2021,2021-08,2021ICD312467,IN_PROGRESS,2,08/11/2021 12:33:47,C4,C400,AT ,,ICD ,48,4804390000,WHITE BLEACHED KRAFT 75SGSM 590X1200X76,"10,000","12,033",USD,"1,431,847","1,431,846","143,185",0,"252,005",10.0,0.0,16.0,,0,0,0,0,0,"395,190","877,543"
2021,2021-07,2021NMA203953,IN_PROGRESS,1,07/31/2021 10:34:35,C4,C404,TZ ,,NMA ,48,4804110000,KRAFT LINER PAPER,"29,077","26,315",USD,"3,196,275","3,196,275","799,069",0,"511,404",25.0,0.0,16.0,,0,0,0,0,0,"511,404","511,404"
2021,2021-08,2021MSA7848127,IN_PROGRESS,1,08/02/2021 08:09:00,R3,R300,LK ,KZ ,MEX ,48,4819400000,2000pcs-MULTIWALL PRINTED  PAPER SACKS  FOR TEA PACKING                  ng,"1,300",0,,"234,880","234,880","58,720",0,"46,976",25.0,0.0,16.0,"105,696",0,0,0,0,0,"105,696",
2021,2021-08,2021MSA7859909,IN_PROGRESS,3,08/20/2021 13:54:46,C4,C400,CN ,,POR ,72,7217200000,"SHOSHONA GALVANIZED BINDING WIRE MODEL G15,G16 ","62,000","15,000",USD,"1,941,309","1,941,308","1,694,107",0,"581,666",25.0,0.0,16.0,,0,0,0,0,0,"2,275,773","2,513,804"
2021,2021-07,2021ICD308267,IN_PROGRESS,14,07/23/2021 11:33:16,C4,C400,DE ,,ICD ,48,4819100000,CLEAN 9 BOX,310,943,EUR,"128,652","128,652","32,163",0,"25,730",25.0,0.0,16.0,,0,0,0,0,0,"57,893","2,937,616"
2021,2021-07,2021ICD308521,IN_PROGRESS,5,07/23/2021 22:31:45,C4,C490,IN ,,ICD ,48,4819100000,PRE-PRINTED CARTONS FOR MEDICINE,"2,016","3,528",USD,"402,260","402,259","100,565",0,"64,361",25.0,0.0,16.0,,0,0,0,0,0,0,"275,434"
