YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2021,2021-01,21NBOIMC00142922,1,1,Settled,01/06/2021 21:44:22,IMC,IM960,1,"5,950",AED,"6,040",48,48191000,SAMPLE EMPTY BOXES,AE,United Arab Emirates,KE,Kenya,NBO,DHL,"3,301",0,"1,510","1,208",0,0,212,121,0,0,0,250
2021,2021-01,21NBOIMC00146342,1,3,Settled,01/07/2021 00:01:41,IMC,IM960,1,"20,084",USD,"20,385",48,48191000,WELCOME KITS BOX WITH SLEEVE,AE,United Arab Emirates,KE,Kenya,NBO,DHL,"1,751","3,723",866,693,0,0,122,70,0,0,0,0
2021,2021-01,21NBOIMC00146342,1,4,Settled,01/07/2021 00:01:41,IMC,IM960,0,"20,084",USD,"20,385",48,48191000,FLYER FOLDERS,AE,United Arab Emirates,KE,Kenya,NBO,DHL,116,717,57,46,0,0,8,5,0,0,0,0
2021,2021-01,21NBOIM400062726,1,6,Removed,01/05/2021 14:53:57,IM4,IM490,36,"132,481",USD,"170,514",48,48191000,"PRE-PRINTED CARTONS FOR MEDICINE - CLOBEN G CREAM 15GMS- 6,720 PCS",IN,India,KE,Kenya,NBO,TCC,761,"3,282","3,452","2,210",0,0,484,277,0,0,0,0
2021,2021-01,21MBAIM400030910,1,1,Settled,01/06/2021 10:10:11,IM4,IM400,"223,276","10,695,007",USD,"11,464,963",72,72139110,PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD 5.5MM,ZA,South Africa,KE,Kenya,MBA,MSA,"2,190,544",0,0,"1,834,395",0,0,"171,975","171,975",0,0,"12,199",0
2021,2021-01,21NBOIMC00179273,1,2,Settled,01/08/2021 00:40:39,IMC,IM960,2,"63,924",USD,"64,883",48,48191000,ZODIAC BADGE GIFT BOX,CN,China,KE,Kenya,NBO,DHL,"1,543",250,763,611,0,0,107,62,0,0,0,0
2021,2021-01,21NBOIM400065671,1,1,Pending release,01/06/2021 13:00:34,IM4,IM490,258,"123,193",USD,"125,041",48,48194000,INFLIGHT MATERIAL-AIRSICKNESS BAG,CN,China,KE,Kenya,NBO,ACH,"27,135",0,"31,261","20,007",0,0,"4,377","2,501",0,0,0,250
2021,2021-01,21MBAIM400063709,1,1,Settled,01/08/2021 11:48:42,IM4,IM400,"442,548","24,645,179",USD,"26,160,398",72,72139110,"PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD,STEELWOO L GRADE VG 13301,SIZE- 7.0MM",ZA,South Africa,KE,Kenya,MBA,RGL,"4,994,656",0,0,"4,185,664",0,0,"392,406","392,406",0,0,"24,180",0
2021,2021-01,21MBAIM400036687,1,1,Settled,01/06/2021 13:03:00,IM4,IM400,"339,732","33,471,976",USD,"35,830,357",72,72139110,"PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD,SAE 1008 - 5.5mm",ZA,South Africa,KE,Kenya,MBA,MSA,"3,328,342",0,0,"2,787,182",0,0,"261,299","261,299",0,0,"18,562",0
2021,2021-01,21MBAIM400036687,1,2,Settled,01/06/2021 13:03:00,IM4,IM400,"359,051","33,471,976",USD,"35,830,357",72,72139110,"PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD,SAE 1008 - 6.5mm",ZA,South Africa,KE,Kenya,MBA,MSA,"3,517,610","5,732,858",0,"2,945,676",0,0,"276,158","276,158",0,0,"19,618",0
2021,2021-01,21NBOIMC00065480,1,2,Settled,01/04/2021 13:29:13,IMC,IM960,2,"25,133",USD,"25,510",48,48191000,UNIT BOX,KR,Korea Republic Of,KE,Kenya,NBO,DHL,"5,155",250,"2,551","2,041",0,0,358,205,0,0,0,0
